
ATNF Pulsar Catalogue
Catalogue Version: 2.1.1
#;NAME;PSRJ;P0;P1;F0;F1;DM;RM;W50;S1400;BINARY;DIST;AGE;
;;;(s);;(Hz);(s^-2);(cm^-3pc);(radm^-2);(ms);(mJy);(type);(kpc);(Yr);
1;J0002+6216;J0002+6216;0.115364;5.97e-15;8.668248;-4.484e-13;218.60;*;*;0.02;*;6.357;3.06e+05;
2;J0006+1834;J0006+1834;0.693748;2.10e-15;1.441446;-4.357e-15;11.40;-20.00;82.000;*;*;0.860;5.24e+06;
3;J0007+7303;J0007+7303;0.315873;3.60e-13;3.165827;-3.612e-12;*;*;*;*;*;1.400;1.39e+04;
4;J0011+08;J0011+08;2.552870;*;0.391716;*;24.90;*;28.000;*;*;5.399;*;
5;J0012+5431;J0012+5431;3.025301;1.28e-16;0.330546;-1.400e-17;131.30;*;*;*;*;5.425;3.74e+08;
6;B0011+47;J0014+4746;1.240699;5.64e-16;0.805997;-3.667e-16;30.41;-15.56;88.700;3.00;*;1.776;3.48e+07;
7;J0021-0909;J0021-0909;2.314131;1.04e-15;0.432128;-1.940e-16;25.20;-15.00;23.800;0.13;*;25.000;3.53e+07;
8;J0023+0923;J0023+0923;0.003050;1.14e-20;327.847021;-1.228e-15;14.32;-5.10;*;0.73;ELL1;1.818;4.23e+09;
9;B0021-72C;J0024-7204C;0.005757;-4.99e-20;173.708219;1.504e-15;24.59;27.30;0.664;0.52;*;4.520;*;
10;B0021-72D;J0024-7204D;0.005358;-3.42e-21;186.651670;1.192e-16;24.74;26.00;0.303;0.35;*;4.520;*;
11;B0021-72E;J0024-7204E;0.003536;9.85e-20;282.779107;-7.877e-15;24.24;26.00;0.900;*;DD;4.520;5.69e+08;
12;B0021-72F;J0024-7204F;0.002624;6.45e-20;381.158664;-9.371e-15;24.38;26.60;0.500;*;*;4.520;6.44e+08;
13;B0021-72G;J0024-7204G;0.004040;-4.22e-20;247.501525;2.583e-15;24.43;25.80;0.700;*;*;4.520;*;
14;B0021-72H;J0024-7204H;0.003210;-1.83e-21;311.493418;1.775e-16;24.38;27.50;0.600;*;DD;4.520;*;
15;B0021-72I;J0024-7204I;0.003485;-4.59e-20;286.944700;3.777e-15;24.43;26.20;*;*;ELL1;4.520;*;
16;B0021-72J;J0024-7204J;0.002101;-9.79e-21;476.046858;2.219e-15;24.59;24.00;0.209;0.44;BTX;4.520;*;
17;B0021-72L;J0024-7204L;0.004346;-1.22e-19;230.087746;6.461e-15;24.40;26.20;0.700;*;*;4.520;*;
18;B0021-72M;J0024-7204M;0.003677;-3.84e-20;271.987229;2.842e-15;24.43;25.30;1.200;*;*;4.520;*;
19;B0021-72N;J0024-7204N;0.003054;-2.19e-20;327.444319;2.343e-15;24.56;25.90;*;*;*;4.520;*;
20;J0024-7204O;J0024-7204O;0.002643;3.03e-20;378.308788;-4.344e-15;24.36;25.76;*;*;BTX;4.520;1.38e+09;
21;J0024-7204P;J0024-7204P;0.003643;6.64e-19;274.497480;-5.000e-14;24.29;*;*;*;BT;4.520;8.70e+07;
22;J0024-7204Q;J0024-7204Q;0.004033;3.40e-20;247.943237;-2.091e-15;24.28;25.20;*;*;ELL1;4.520;1.88e+09;
23;J0024-7204R;J0024-7204R;0.003480;1.48e-19;287.318119;-1.225e-14;24.36;25.70;*;*;ELL1;4.520;3.72e+08;
24;J0024-7204S;J0024-7204S;0.002830;-1.21e-19;353.306209;1.505e-14;24.38;25.80;*;*;ELL1;4.520;*;
25;J0024-7204T;J0024-7204T;0.007588;2.94e-19;131.778699;-5.102e-15;24.42;26.00;*;*;ELL1;4.520;4.09e+08;
26;J0024-7204U;J0024-7204U;0.004343;9.52e-20;230.264772;-5.049e-15;24.34;26.26;*;*;ELL1;4.520;7.23e+08;
27;J0024-7204V;J0024-7204V;0.004810;*;207.892963;*;24.11;*;*;*;BTX;4.520;*;
28;J0024-7204W;J0024-7204W;0.002352;-8.66e-20;425.107796;1.564e-14;24.37;26.00;*;*;BTX;4.520;*;
29;J0024-7204X;J0024-7204X;0.004772;1.84e-20;209.576695;-8.065e-16;24.54;26.40;*;*;ELL1;4.520;4.12e+09;
30;J0024-7204Y;J0024-7204Y;0.002197;-3.52e-20;455.237178;7.289e-15;24.48;26.00;*;*;ELL1;4.520;*;
31;J0024-7204Z;J0024-7204Z;0.004554;-4.54e-21;219.565606;2.190e-16;24.45;*;*;*;*;4.520;*;
32;J0024-7204aa;J0024-7204aa;0.001840;*;543.478261;*;24.92;28.90;*;*;*;4.520;*;
33;J0024-7204ab;J0024-7204ab;0.003705;9.82e-21;269.931798;-7.155e-16;24.33;26.40;*;*;*;4.520;5.98e+09;
34;J0024-7204ac;J0024-7204ac;0.002740;*;364.963504;*;24.46;*;*;0.15;BT;4.520;*;
35;J0024-7204ad;J0024-7204ad;0.003740;*;267.379679;*;24.41;*;*;0.08;BT;4.520;*;
36;J0026+6320;J0026+6320;0.318358;1.51e-16;3.141120;-1.486e-15;245.06;-294.00;8.100;1.00;*;6.619;3.35e+07;
37;J0026-1955;J0026-1955;1.306150;*;0.765609;*;20.87;*;85.000;*;*;25.000;*;
38;J0030+0451;J0030+0451;0.004865;1.02e-20;205.530699;-4.296e-16;4.33;1.17;*;1.09;*;0.329;7.58e+09;
